input,2050_KM,2050_KGG_midden,2050_KGG_hoog,2050_GP_basis,2050_GP_midden,2050_GP_hoog,2030_KM,2030_KGG_midden,2030_KGG_hoog,2030_GP_basis,2030_GP_midden,2030_GP_hoog,2035_KM,2035_KGG_midden,2035_KGG_hoog,2035_GP_basis,2035_GP_midden,2035_GP_hoog,2040_KM,2040_KGG_midden,2040_KGG_hoog,2040_GP_basis,2040_GP_midden,2040_GP_hoog
agriculture_bio_kerosene_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
agriculture_biodiesel_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,53.5,53.5,53.5
agriculture_burner_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
agriculture_burner_hydrogen_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
agriculture_burner_network_gas_share,,,,,,,,,,,,,,,,,,,,,,1.73,1.73,1.73
agriculture_burner_wood_pellets_share,,,,,,,,,,,,,,,,,,,,,,6.3,6.3,6.3
agriculture_diesel_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,43,43,43
agriculture_final_demand_ht_central_steam_hot_water_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
agriculture_final_demand_local_steam_hot_water_share,,,,,,,,,,,,,,,,,,,,,,4,4,4
agriculture_final_demand_mt_central_steam_hot_water_share,,,,,,,,,,,,,,,,,,,,,,30.67,30.67,30.67
agriculture_geothermal_share,,,,,,,,,,,,,,,,,,,,,,23,23,23
agriculture_heatpump_water_water_electricity_share,,,,,,,,,,,,,,,,,,,,,,17,17,17
agriculture_heatpump_water_water_ts_electricity_share,,,,,,,,,,,,,,,,,,,,,,17.3,17.3,17.3
agriculture_kerosene_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
agriculture_lpg_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5
agriculture_other_bio_oil_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
agriculture_other_oil_in_crude_oil_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
agriculture_useful_demand_electricity,,,,,,,,,,,,,,,,,,,,,,0.35,0.35,0.35
agriculture_useful_demand_useable_heat,,,,,,,,,,,,,,,,,,,,,,-1.67,-1.67,-1.67
battery_capacity_always_on_solar_pv_solar_radiation,,,,,,,,,,,,,,,,,,,,,,50,50,50
battery_capacity_always_on_wind_turbine_inland,,,,,,,,,,,,,,,,,,,,,,50,50,50
buildings_cooling_airconditioning_share,,,,,,,,,,,,,,,,,,,,,,65,65,65
buildings_cooling_collective_heatpump_water_water_ts_electricity_share,,,,,,,,,,,,,,,,,,,,,,35,35,35
buildings_cooling_heatpump_air_water_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
buildings_cooling_heatpump_air_water_network_gas_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
buildings_cooling_heatpump_surface_water_water_ts_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
buildings_insulation_level_buildings_future,,,,,,,,,,,,,,,,,,,,,,155,155,155
buildings_insulation_level_buildings_present,,,,,,,,,,,,,,,,,,,,,,210,210,210
buildings_lighting_efficient_fluorescent_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
buildings_lighting_led_electricity_share,,,,,,,,,,,,,,,,,,,,,,100,100,100
buildings_lighting_savings_from_daylight_control_light,,,,,,,,,,,,,,,,,,,,,,62,62,62
buildings_lighting_savings_from_motion_detection_light,,,,,,,,,,,,,,,,,,,,,,69,69,69
buildings_lighting_standard_fluorescent_electricity_share,,,,,,,,,,,,,,,,,,,,,,0,0,0
buildings_number_of_buildings_future,,,,,,,,,,,,,,,,,,,,,,213902,213902,213902
buildings_number_of_buildings_present,,,,,,,,,,,,,,,,,,,,,,912497,912497,912497
buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,,22.5,22.5,22.5,22.5,18.9,,13.87,13.87,,13.87,12.59,,16.03,16.03,,16.03,14.17,,18.18,18.18,22.5,22.5,18.9
buildings_space_heater_combined_hydrogen_share,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0
buildings_space_heater_district_heating_ht_steam_hot_water_share,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0
buildings_space_heater_district_heating_lt_steam_hot_water_share,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0
buildings_space_heater_district_heating_mt_steam_hot_water_share,,25,30,20,25,30,,8.87,10.65,,8.87,10.65,,12.9,15.48,,12.9,15.48,,16.94,20.32,20,25,30
buildings_space_heater_electricity_share,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0
buildings_space_heater_heatpump_air_water_electricity_share,,17.5,12.5,11.25,11.25,11.25,,6.21,4.44,2.25,2.25,2.25,,9.03,6.45,4.5,4.5,4.5,,11.85,8.47,11.25,11.25,11.25
buildings_space_heater_heatpump_air_water_network_gas_share,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0
buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0
buildings_space_heater_hybrid_heatpump_air_water_electricity_share,,35,35,46.25,41.25,39.85,,12.42,12.42,13.75,13.75,13.75,,18.06,18.06,21.9,21.9,21.9,,23.71,23.71,46.25,41.25,39.85
buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0
buildings_space_heater_network_gas_share,,,,0,0,0,,58.63,58.62,,61.26,60.76,,43.98,43.98,,44.67,43.95,,29.32,29.32,0,0,0
buildings_space_heater_solar_thermal_share,,,,0,0,0,,,,,,,,,,,,,,,,0,0,0
buildings_space_heater_wood_pellets_share,,,,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0
buildings_useful_demand_cooling,,,,,,,,,,,,,,,,,,,,,,1.2,1.2,1.2
buildings_useful_demand_electricity,,,,,,,,,,,,,,,,,,,,,,0,0,0
buildings_useful_demand_for_appliances,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5
bunkers_allocated_percentage_aviation,,,,,,,,,,,,,,,,,,,,,,100,100,100
