input,II3050 Regionaal - Solar PV en Warmtenet fix -,II3050 Nationaal - Solar PV en Warmtenet fix -,II3050 Europees - Solar PV en Warmtenet fix -,II3050 Internationaal - Solar PV en Warmtenet fix -
capacity_of_energy_power_combined_cycle_ccs_network_gas,2500,0,5600,5000
capacity_of_energy_power_turbine_network_gas,0,0,0,0
capacity_of_energy_power_ultra_supercritical_network_gas,0,0,0,0
capacity_of_energy_power_engine_network_gas,0,0,0,0
capacity_of_energy_chp_combined_cycle_network_gas,0,0,0,0
capacity_of_energy_chp_local_engine_network_gas,0,330,0,1650
capacity_of_energy_power_ultra_supercritical_crude_oil,0,0,0,0
capacity_of_energy_power_engine_diesel,0,0,0,0
capacity_of_energy_power_nuclear_gen2_uranium_oxide,0,0,0,0
capacity_of_energy_power_nuclear_gen3_uranium_oxide,0,0,0,0
capacity_of_energy_power_wind_turbine_inland,20000,20000,10000,10000
capacity_of_energy_power_wind_turbine_coastal,0,0,0,0
capacity_of_energy_power_wind_turbine_offshore,31000,51500,30000,27500
capacity_of_energy_power_solar_pv_solar_radiation,66917.65,57600,34588.24,34588.24
capacity_of_energy_power_hydro_river,37,37,37,37
capacity_of_energy_chp_local_wood_pellets,0,0,0,0
capacity_of_energy_chp_local_engine_biogas,0,0,0,0
capacity_of_energy_power_supercritical_waste_mix,0,0,0,0
capacity_of_energy_chp_supercritical_waste_mix,0,363,726,726
capacity_of_energy_power_turbine_hydrogen,0,0,0,0
capacity_of_energy_power_combined_cycle_hydrogen,38500,45000,0,48000
capacity_of_energy_power_geothermal,0,0,0,0
capacity_of_energy_heat_well_geothermal,4012.82,983.85,0,191.27
capacity_of_energy_heat_solar_thermal,0,0,0,0
share_of_industry_chemicals_other_reused_residual_heat,0,0,0,0
share_of_industry_chemicals_fertilizers_reused_residual_heat,0,0,0,0
share_of_industry_chemicals_refineries_reused_residual_heat,0,0,0,0
share_of_industry_other_ict_reused_residual_heat,0,0,0,0
volume_of_imported_heat,10.6,17.8,31,0
co2_emissions_of_imported_heat,0,0,0,0
capacity_of_energy_heat_heatpump_water_water_electricity,516.65,501.39,1848.6,1873.95
capacity_of_energy_heat_burner_network_gas,2637.83,1562.15,3000.09,308.94
capacity_of_energy_heat_burner_hydrogen,0,0,355.56,1757.5
capacity_of_energy_heat_burner_wood_pellets,2900,2600,1600,3000
capacity_of_energy_heat_burner_waste_mix,0,0,0,0
energy_heat_distribution_loss_share,15.5,15.5,15.5,15.5
heat_storage_enabled,0,0,0,0
energy_heat_network_storage_loss_share,15,15,15,15
capacity_of_energy_hydrogen_wind_turbine_offshore,0,0,0,0
capacity_of_energy_hydrogen_solar_pv_solar_radiation,0,0,0,0
capacity_of_energy_hydrogen_steam_methane_reformer_ccs,0,0,13000,0
capacity_of_energy_hydrogen_steam_methane_reformer,0,0,0,0
capacity_of_energy_hydrogen_biomass_gasification,0,0,0,0
capacity_of_energy_imported_hydrogen_baseload,0,0,0,0
energy_transport_hydrogen_pipelines_share,99,99,99,99
energy_transport_hydrogen_compressed_trucks_share,1,1,1,1
co2_emissions_of_imported_hydrogen_present,0,0,0,0
co2_emissions_of_imported_hydrogen_future,0,0,0,0
transport_road_mixer_diesel_diesel_share,0,0,0,0
transport_road_mixer_diesel_biodiesel_share,100,100,100,100
transport_road_mixer_gasoline_gasoline_share,0,0,0,0
transport_road_mixer_gasoline_ethanol_share,100,100,100,100
transport_road_mixer_lng_lng_share,0,0,0,0
transport_road_mixer_lng_bio_lng_share,100,100,100,100
transport_rail_mixer_diesel_diesel_share,0,0,0,0
transport_rail_mixer_diesel_biodiesel_share,100,100,100,100
transport_shipping_mixer_diesel_diesel_share,0,0,0,0
transport_shipping_mixer_diesel_biodiesel_share,0,0,0,0
transport_shipping_mixer_diesel_bio_lng_share,100,100,100,100
transport_shipping_mixer_diesel_heavy_fuel_oil_share,0,0,0,0
transport_shipping_mixer_lng_lng_share,0,0,0,0
transport_shipping_mixer_lng_bio_lng_share,100,100,100,100
bunkers_plane_using_kerosene_share,0,0,0,0
